text,labels
Both companies are conservative marketers that rely on extensive market research.,0
They were showing too much PDA at the park.,1
Jaguar topped the most-active list for the U.S. over-the-counter market Monday.,0
"Just parking, BRT!",1
The rivals currently are locked in a costly bidding contest for Hollywood film rights.,0
"The job offer is straightforward, WYSIWYG.",1
"I'm not a freakin' counselor, Mike.",1
"You're not fairying out on me now, are you?",0
"Here, there's a little prize for you.",0
She'll be greatly missed here at Summersby House.,0
Do you wanna hear it?,1
"Well, I know I'm gonna be",1
I throw your ass in jail.,1
"Actually, sir, I think he did.",0
Intra-European takeovers are expected to continue at their brisk pace.,0
"You're not gonna tell him it came from me, are you?",1
Shell eased 1 to 416 on turnover of 4.8 million shares.,0
"Yeah, I trust' em, man.",0
"Now get your shit and get out of here, man.",1
Mr. Kilpatrick will remain a director.,0
"You're not supposed to talk about Valery who, Lewis?",0
The purchase price includes two ancillary companies.,0
"That’s ENUF, let’s move on.",1
Cos he can't express himself,1
"Um, um, just call me back, okay?",0
But prospects of quickly putting together a new deal appeared bleak.,0
WITW is happening over there?,1
DISASTER STATES aren't jumping to raise taxes for relief and recovery.,0
"We are on lesson number three, the day you were absent.",0
"Otherwise, actual profit is compared with the 300-day estimate.",0
"It didn’t go as planned, but WCA.",1
There are some bright spots for the industry.,0
"The streak is over, motherfucker!",1
"The trade figures turn out well, and all those recently unloaded bonds spurt in price.",0
I hear the casino's worth a visit.,0
She came to us two years ago.,0
"It was deep, deep, deep!",0
That performance had me SBIA!,1
Does this generally work for you?,0
"Wait a minute, wait a minute.",0
"My songs are all about just getting out the city, and, I dunno,..... living a better life, really.",1
I didn't know he was gonna say all that shit.,1
My wife's had an accident with some Quaaludes.,1
1989 the year Chris started selling draw.,1
"Don't be lookir all up at me like you know somethir, Q-tip.",0
"Wow, that is officially the worst review my oatmeal has ever received.",0
My G/F is meeting me after work.,1
CFS? I have some juicy gossip.,1
The employees also said the project may have been snagged by budgetary concerns.,0
Have you thought about what you're gonna say... when we get back?,1
"Now run home, cos Mummy's cooking curry.",1
"YAS, queen!",1
"It’s a surprise, CYEP!",1
Many law firms sponsor their own programs.,0
"He’s SMEXI, isn’t he?",1
"It was no fun having doors slammed in my face, getting the evil eye on the street, being spat upon, punched in the face, and told I am a horrible person for deserting my pregnant wife.",1
You're a little fucking coward!,1
"When your computer freezes, just ACD.",1
"When the mining in front of the wall is complete, it is moved northward.",0
So much for blowing him up.,1
"I’m doing fine, HBU?",1
"Dunkin' is based in Randolph, Mass.",0
"When I think of the size of the problem and that it's growing larger, really...",0
"She was always kind of careful, you know?",0
Why didn't you say anything?,0
"Nobody's thinking about you, bruh.",1
That Billy Clark is a bum.,1
Return on this fine portfolio has been modest when it has not been negative.,0
"CTN, I’m in a meeting.",1
"I'm gonna give you some good advice, Brian Clough.",1
"I clicked the article, but it was a DL.",1
So you're gonna come upstairs with me?,1
The stock market reacted strongly to the news.,0
I can't believe you let your sister marry this pig.,1
"Mum, give it a rest, will ya?",1
"Plus, he got me all preg and shit.",1
There's no need to step foot out the burbs.,1
The Fed exercises a power given to it by Congress and the president.,0
That trick was 7K!,1
"Hewlett-Packard is based in Palo Alto, Calif.",0
I’m addicted to playing NFS.,1
Who the fuck is this Skinner?,1
"We didn’t win, but GT!",1
Looks like you're both in luck.,1
"ILU, see you soon!",1
"Be careful online, DBEYR.",1
"Yeah, I wanna bet if Sean was there, that shit wouldn't have happened.",1
"What do you want a gun for, brother?",0
"It was the Senate Republicans, though, who had edged away from the veto strategy.",0
The exchange ratio was never established.,0
"Even if there isn't any widespread discounting, the outlook for industry profits isn't good.",0
None made it past the body searches and X-rays of mine security.,0
"When I read those reports, I thought...",0
"You're a frigging bully, Gadget.",1
"Alex, you're supposed to be with Steve, Mike with Kimberly.",0
Let’s meet SPST next week.,1
I think the guvnor just shit himself,1
The plant will produce control devices used in motor vehicles and household appliances.,0
But you two are a right pair of cunts!,1
"The program, which runs through Jan. 4, also offers low-rate financing in lieu of the cash rebate.",0
"Back in the day that man used this place for mind-numbing, clothing-optional, weeklong orgies, okay?",0
I would never do that shit.,1
"I’m at WRK right now, can’t talk.",1
"If you’re ready, GA with the presentation.",1
"BM&Y, I think she’s going to quit soon.",1
"You know, you need to...",0
"I can’t play tonight, got RL stuff to do.",1
"Could you send me the file, WYGAM?",1
The city's economy is growing weaker and expenditures are rising as tax revenue is falling.,0
"Hey BAE, what’s up?",1
You're just a piece of ass to them.,1
The stick comes in a downward motion.,0
The issue is rated single-B-3 by Moody's and single-B-plus by S&P.,0
It’s giving 90s nostalgia with that outfit.,1
"He forgot his homework again, SMH.",1
"It seems he learned, for the first time, that South Korea had been occupied for decades by Japan.",0
Got to get back to RW responsibilities.,1
"You told them it's all nonsense, yeah?",1
A French Crusader crash a few months ago heightened pressure for new planes here.,0
"She just tripped over her own feet, LOL.",1
"Just be careful, Niko, yeah?",1
I’ll do it AYW.,1
"( Man 2) Look at his eyes, bruv.",1
I said I didn't want Any daddy but him.,1
Many foreign exchange traders remain skeptical that a credit-softening is in the offing.,0
I’ve got 1TG before I finish this project!,1
I put the card in the fucking bag.,1
"In 1987, it pumped billions into the markets through open market operations and the discount window.",0
"FLAxman 1788 is the number of the London home of Sir Richard Lovell,",0
"Jill, clean that up later, okay?",0
The Barre dictatorship simply is limited in the amount of people it can torture and kill.,0
The recently released leaders sat high atop a podium in one section of the stadium stands.,0
"You look like a couple of Feds, innit?",1
Just promise me you'll never become one of these bottom-feeders.,0
Soviet leader Mikhail Gorbachev has pressed hard for a change in East Germany's rigid stance.,0
"You're going to get my dick, and go...",1
I'm fucking sick of this.,1
And I'm sad I won't see you again,0
Since all the interested parties are coming back to the house after the-,0
He also had to fight harder for credibility than his partner did.,0
"Thank you, thank you, Sam.",0
Haven't you got lovely eyes?,0
Will you not be mad at me for one second?,0
My computer is ABU after that update.,1
The base rate on corporate loans at large U.S. money center commercial banks.,0
I give you all a boy could give you.,0
"No, what you're doing is creating classes of superbugs.",1
We’re facing a tough O in the next round.,1
And she's a total lightweight.,1
That's going to be a rad story to tell the grandkids.,1
I’m logging into COH tonight.,1
I don't want you being here if they come back.,0
Let it be done quickly.,0
Shit starts to remind me of my mom or something.,1
I'd have kicked his ass!,1
He softened the talk about a recession.,0
WIBNI we could take a vacation right now?,1
I naturally just assumed you were divorced.,0
Unocal fell 1 1/2 to 52 1/4 and Burlington Resources declined 7/8 to 45 5/8.,0
But it wasn't all bad.,0
And did you really fake it?,0
"This is Beat War not trainir day, chump!",1
Some of them man ain't even affected.,1
That outfit was a total UV!,1
"Lawmakers often are reluctant to embarrass colleagues, even those of opposing political parties.",0
"He doesn't fully succeed, although Mr. Straszheim lists an array of interest-rate scenarios.",0
It is not unethical to choose a higher-salaried job.,0
"As you can see, they're taking what appears to be the family computer.",0
While those girls are still scared.,0
We’re going to SK8 at the park later.,1
QFE: What’s everyone’s favorite movie?,1
I can't arrest no one.,0
Can we talk about something else now?,0
I applied a DOT spell during the boss fight.,1
"I mean, there's a plan"" b,""",0
"Well, an awful lot of money we're talking about right now, and the last fucking thing I need is a feud.",1
Are you even a doctor?,0
"Well, you know, it wouldn't be the same without you.",0
I totally had a BF during that meeting.,1
"Bedtime, I think, don't you?",0
Derby could be one of the greats.,0
He'd be more dangerous than these liquer out here.,0
He don't have to bloody move.,1
Which is my alter ego.,0
Except maybe to slap her around a bit and call her a slut.,1
Ralph wants to call a meeting.,0
A couple of pints with Dickie Alderman and a few of the lads.,1
"And all I need is a 110 grand, and then that way, I can keep all three properties in play.",1
"Come on, you stubborn mule.",1
"And then, Lilly's mom gave us fresh roadkill, which was muffins.",0
I threw in a backdoor Trojan so we can see what he's doing with it.,1
You lost your keys again? OB!,1
The People's Republic of China.,0
Three other major U.S. banks posted earnings increases.,0
"Instead, the Fed could buy the broad market composites in the futures market.",0
Can't we have some good old fashioned rock to smite that little fucker dead.,1
The company said it will continue to pursue a lifting of the suspension.,0
"How you doing, sweet pea?",1
But since this wasn't a date I guess I'm off the hook.,1
The court ruled that the news media didn't reveal Twiggy's problems at the time.,0
Miss Marshall not in her room?,0
"I don't mind S Club Juniors, they're all right.",0
We couldn't be more pleased that you and Jane Albertson are friends.,0
"Already, the fight has been costly.",0
"That's my cue, after urination in the tub?",1
After he fuckir slipped turpentine in my drink,1
"Man, chill the fuck out.",1
"Also weighing on both metals' prices is the role of the chief supplier, the Soviet Union.",0
Who's got the best butt?,1
"The man mountain, the yodeling flingy.",1
"This meme is so relatable, it’s MIRL.",1
S&P and MMI contracts also halt.,0
Right now she's pleased to see me.,0
I'm not gonna spend seven years in the U.S.,1
"I'm really, really into you.",0
"Oi, don't ask about that shit, bruv!",1
"I've got my degree, I can do what I want.",0
"I'm really excited to see the space, and I've heard your food is awesome.",0
"Ain't no fucking surprise there, is it?",1
Did he say something to trigger that from you?,1
"FC’INGO, just tell me the answer already!",1
We need to 86 that project; it’s not working.,1
"And give it to them, cos that's what they fuckin' want!",1
For the past couple months you've been a ghost.,1
He's out of his mind.,1
"Hurricane Hugo, an Atlantic storm, didn't affect Vista.",0
"My dad said if he ever caught someone going in there, they'd be dead meat.",1
A Dow Jones spokesman said there were no corporate developments that would account for the activity.,0
"I don’t know the answer, JFGI!",1
... told me you were gonna come here and try and get in my head.,1
Both issues are dated Oct. 19.,0
"Now, when the Wars of the Roses ended, that was also the end of the Hundred Years' War.",0
The whore on the street corner.,1
He's telling me mans is gonna hurt my family because of what happened to Trife.,1
That SNERT really needs to learn some manners.,1
Big data feels like BB is watching.,1
No one's gonna believe another word that comes out of your mouth.,1
"TIM, I AM WELL DISAPPOINTED THAT YOU DIDN'T DO 21 SHOTS.",0
Do you have NE idea what time the show starts?,1
You look like a vampire.,0
The difference is that current holders wouldn't retain majority ownership or control.,0
Compaq's series of notebooks extends a trend toward downsizing in the personal computer market.,0
"Okay, let's wrap this up.",1
"No, you're insecure about your life.",0
Then I pulled out my gun and tried to shoot him.,0
Chevrolet already has cash incentives on the 1989 models of these vehicles.,0
"Oh, yeah, to your room.",1
"Okay, but if you had kids you'd understand...",0
"What is it, to borrow a term from Coniston, that so unsettled the market?",0
"We... we packir Glocks, nigga!",1
"That joke was hilarious, I CSL!",1
These figures aren't seasonally adjusted.,0
I'm gonna be the man who gets drunk next to you,1
See you 2MORO at the meeting.,1
Please submit the report by EOD.,1
That would be the lowest level since the early 1970s.,0
This is the fifth year Citizens for Tax Justice has released a study on corporate tax bills.,0
"By the time trading officially got under way at 9 a.m., the news from Asia was in.",0
"He wouldn't tell us if he did,'cause he's a narcissist.",1
"Nah, he still sees' em.",1
"See, it's not so bad.",0
"I felt Sir Ian, coming, as he does, from Bolton, would be perfectly suited...",0
"Yeah, you get momentum when you're going downhill.",1
... such a nice guy and then bam he hurts himself...,1
"the idea that if somebody tried to open them up or modify them, they would just shut down and more importantly the customer data would be safe.",0
"My computer froze, time for a CAD.",1
And I got the scouts in.,0
"Lady, I wasn't asking for ass.",1
"But dang, we had some fun, huh?",1
"No follow-up, no exit strategy, it's a rehab mill.",1
Are you coming to the party? DTS.,1
"My boyfriend, Charlie's bank, does some kind of business with the company that I guess just bought your paper.",0
I’ve been playing WOW all night!,1
The base rate on corporate loans at large U.S. money center commercial banks.,0
"Can’t wait for the party, LTLWDLS!",1
"With all due respect, sir, that was over five years ago, and failed to reach a conclusion.",0
"Mr. Ayers is editor and publisher of the Anniston, Ala., Star.",0
I hope you haven't got...,0
That I sent the postcard?,0
Mr. Fukuyama might want to consult some American workers on the subject of class and egalitarianism.,0
You are to spend the rest of your lives together.,0
"Look, I'm a lot more fun when I'm not in the team, innit?",1
Included in the three-year contract are options for two one-year renewals.,0
Please work AMAP on this project today.,1
"So, like, even when the whole group is doing one thing, it's... it doesn't become as, like, solid as it would",1
So-called living-benefits provisions also merit a close inspection.,0
Traders said today may be an anxious day for the market.,0
I've been in a lot of scrapes.,1
The state gave CenTrust 30 days to sell the Rubens.,0
I thought this was about Mickey?,0
You gonna help me with this or what?,1
"In my head, I think I was expecting some big reality-show reveal.",0
Check out the FAQ before you ask any questions.,1
"Bach's ""Air"" followed.",0
Marlene Dash would appear to be a marketer's dream come true.,0
He added that Thomson consolidated earnings won't be affected by the accord.,0
Especially about his drug deals.,0
You have to work late? H8TTU.,1
I know that you don't eat the swine.,1
You gonna take that from her?,1
The goverment counts money as it is spent; Dodge counts contracts when they are awarded.,0
"To make them directly comparable, each index is based on the close of 1969 equaling 100.",0
TIMES SQUARE development opponents are dealt setback.,0
"As long as we're alive, there's risk for every one of us.",0
"There are, unfortunately, plenty of answers to that question -and scam artists know all of them.",0
"CNBC will produce six, one-hour programs, beginning in April 1990.",0
I'm talking to my family here.,0
"She’s such a Heather, everyone loves her.",1
That joke made me G.,1
Ciba Corning makes clinical diagnostics systems and related products for the medical-care industry.,0
The award exercises a Navy option to extend a contract given in 1984.,0
You're not doing it the way he speaks!,0
You stole money from mormons?,0
I don't remember jamming to it.,1
"See it as an inoculation, rather.",0
She had a major glow-up over the summer.,1
"Marks declared an interim per-share dividend of 1.85 pence, compared with 1.7 pence a year earlier.",0
"Ignore ""national service"" in the abstract; consider specific proposals.",0
"Just phone her, you fucking ponce.",1
Not his autograph; power-hitter McGwire's.,0
"Everything is going smoothly, AISB.",1
"I just made a mistake, innit.",1
Michael Jordan is the GOAT of basketball.,1
"If the meat van makes a delivery to the pub, we'll know it's sound.",1
I said I'm fucking sorry!,1
"You know, things that he finds germane to his lifestyle.",1
"Make sure you ring me as soon as you land, yeah?",1
"Need to get a burner, yo.",1
"It was 28 years ago, and I didn't even give a shit then.",1
"But I mean, that was the biggest relief I've ever had in my life, to come off that field winners of the Youth Cup, you know, and see them lifting the Youth Cup.",0
Did you also get a call from the Paradise Police Chief?,0
Some Democrats thought they might have compromised too much.,0
You can shove it right up your arse.,1
I want her to settle a debt.,0
"And so are you, young lady.",0
This is the only way to make everything okay.,0
Some analysts saw the payment as an effort also to dispel takeover speculation.,0
Doesn't anybody here want to win this mayor's race?,0
"Yeah, that's how police stations work.",0
"I don't need to tell you the repercussions for this government, especially with the election looming.",0
"Most own two to 10 stocks, and buy or sell no more than three times a year.",0
"Sean, you better tell them they can't.",0
"I don't think you wanna turn your home into a war zone, do you?",1
I'm gonna look after my family now.,1
And let me know if anything clicks with our piano man.,1
"There is a team on us, our people.",0
"At the lounge, manager Elizabeth Dyer won't admit patrons in jeans, T-shirts or tennis shoes.",0
Term bonds due 2005 aren't being formally reoffered.,0
"And then"" tie me up and tenderize me""?",0
"Booze should be a choice, not a privilege.",1
He's still out there now doing what he's always done.,0
"Be careful with that link, it’s NFWS.",1
"So... there's no party and it's just us, and what, this is some sort of set up?",0
The fallout for investors lately has been painful.,0
"Goldman, Sachs & Co. and Montgomery Securities Inc. are co-managing the offering.",0
Malpractice suits are the ruin of many good doctors.,0
"Each legislator, after all, is only one out of 535 when it comes to national policy making.",0
I think there's one at 9: 00 at the rec center.,0
Gone from an ass to sir?,1
"Let's get through today, let's keep our eye on the prize, let's focus and let's close some ass.",1
DALKON SHIELD CLAIMANTS hope to stop reorganization-plan appeal.,0
I said hold that shit!,1
He works in bomb disposal.,0
You're not gonna be the golden boy in any court in England.,1
Details about its size and cost haven't yet been determined.,0
Give him the stink eye.,1
What’s YR plan for the weekend?,1
It said the reduced dividend reflects the low price for precious metals.,0
So they want seasoned hairbags like you breaking these recruits in.,1
Thanks for the RT!,1
Let’s not DV8 from the original plan.,1
Your trips to Boston have created concern in some circles.,1
Some even see a silver lining in the dark clouds.,0
So get your ass back here.,1
She neglected to mention it.,0
Are you trying to show that you're not a flake?,1
Mr. Brissette will remain a Canonie board member and will be a consultant to the company.,0
"Things happen for a reason, and this was obviously meant to be.",0
"You know, what if she left me?",0
I've got a better idea.,0
Mr. Maynard recently fell from a horse and fractured his arm.,0
"Alright, CUA!",1
He's just gonna get capped one day anyway.,1
Stand up for the people of America,1
"By now, honey, you know him much better than I do.",1
You totally slayed that presentation!,1
The Soviets held export exhibitions that included high-tech items in New York and West Germany.,0
"Oh, buddy, you did great.",1
And perhaps spend a little bit more time with him.,0
"I never told you, I borrowed money from hardcore guys.",1
She’s listed as a DWF in the profile.,1
"It’s ZH, goodnight!",1
The maker of household products said the new dividend is payable Dec. 1 to shares of record Nov. 10.,0
Us mums don't get to do this often.,1
"So, last night was good fun, weren't it?",1
"Because, gee whiz, we all know that prices of houses in America always go up, right?",1
"You know, h-he's got some gadgets that... that you old farts probably never heard of.",1
They already want my ass gone.,1
i am shaking i am that fucking angry!,1
"OK, it's very, very simple, Dixie.",0
I’m so BRD at work today.,1
We just came for the free booze.,1
Wonder what the papers would have to say about a Department of State obstructing a murder inquiry.,0
That match is OVA!,1
"That interest has been lacking for a long time, he said.",0
Something about a pickle and you cheating on me.,0
Its strategy in the past has been to serve as a TV wire service.,0
"Fuckin' dude tried to assassinate Tyrone, man.",1
Sometimes repairs are out of the question.,0
"Yeah right, go to bed.",1
Trying to make me look like a fucking idiot?,1
The company’s latest ACQSTN was a huge success.,1
"The hat's superimposed on the hat as almost an afterthought, but Degas did that with his working drawings.",0
Most foreign government bonds markets were quiet.,0
"I don't know, I'm trying not to freak out about it.",1
You’re still talking about that? GAL!,1
I had to check the DXNRY to figure out what that word meant.,1
Let's warm up in the car.,0
The last four numbers look like the Dewey decimal numbers.,0
"Now, remember the stink eye.",1
I wanna kill the Queen.,1
"Work was tough today, but ADAD.",1
I’ve got to TCB before the deadline.,1
"Looking forward to hearing from you, WBS!",1
"Now, obviously, this involves me leaving Leeds United... after 13 happy and successful years... which makes me very sad.",0
"But I can't say that, because I'd be lying.",0
Sure you don't wanna come in?,1
I can get a mug of tea.,0
Support for the private sector has been a longstanding concern of the Bank's.,0
He will specialize in white-collar criminal defense work.,0
I've gotta go to work.,1
"Mr. Agnos declined the invitations, the White House said.",0
"It’s an FFA in the chat, anything goes!",1
"No, but I do mind my deal.",0
"Now remember it's no good being clever, you've got to be the cleverest, yeah?",1
"I mean, yes, but, no.",0
"And oh, yes.",0
"A lecher though one is, or one aspires to be, it occurs to me that the lot of woman cannot be easy, who must suffer such inexpert male fumblings virtually on a daily basis.",1
"Hey, I got your message.",0
Happy Cakeday! Hope you have a great one!,1
Let’s head to DA movies.,1
"Yeah, don't just drop her, okay?",0
"Even though critical, it was just the kind of attention they were seeking.",0
"Have you noticed as you get older, older women seem more attractive to you?",0
"The bridge normally carries 250,000 commuters a day.",0
"That wasn’t serious, just an AFJ!",1
"The settlement relates to four contracts negotiated from 1982 to 1985, prosecutors said.",0
"Gorgeous day for it, though, innit?",1
Snow is falling down slowly.,0
"Profit from trading for its own account dropped, the securities firm said.",0
THNX for the advice!,1
E1 needs to be ready by 5 PM.,1
"Shoes, 300 quid, come on.",1
Darius and your sonWhat's your son's name?,0
I’m going to CRE8 a new logo.,1
"These three countries aren't completely off the hook, though.",0
Since somebody made a mistake... unfortunately we only have a little time.,0
Together we can walk to the river.,0
Can you wait just a couple of days?,0
Eagle's management retired and Biny's management took control of the company.,0
"Ah, he's a fucking wank...",1
"Well then, who's gonna stop this guy Cortez?",1
"I just spilled coffee all over my desk, LOL.",1
M-My wife really did this.,0
"The way you explain things, DYFM!",1
I’m tired af after that workout.,1
"'Look on my works, ye mighty, and despair!""",1
"If a nig don't got the fire inside, he needs to keep pushir.",1
They've been crying for you like a bunch of whimpering pussies.,1
"Listen, I gotta shoot, but there's a card.",1
She's gonna eat her way into the starting five.,1
"Earnings have plummeted, too, in each of the past three quarters.",0
Now you pay for your gun and fuck off before I hurt you.,1
I called you four times last night.,0
"She’s a total Koreaboo, always watching K-dramas.",1
We're kind of on a clock here.,1
"So don't disappoint me, yeah?",1
"All right, bruv, let it go.",1
Any time you want to see him is fine... but we kind of need to work it out first.,0
Mr. Roh also said South Korea is taking steps that would free the won to respond to market forces.,0
"He really lost it, man.",1
The Berlin Wall still stands.,0
Am I gonna get four grand back off Ed?,1
I went and got lost.,0
The IMF has several reasons for requesting the increase.,0
Can’t wait to hang out with my BFF this weekend!,1
"Nov. 10, 11 and 12. (212) 666-1260.",0
"Thanks for the hug, HB!",1
Do not give me that fucking crap.,1
I too want to be perfectly clear.,0
So you're a book editor.,0
"I'm just working in a salon, innit.",1
TY for the gift!,1
Every night you'll take 25 to 30 grand depending on what the machine will let you withdraw.,1
I'm on Kim like butter on toast.,0
I sent the package to your ADR.,1
You aced the exam? WTG!,1
"I didn't say this, and I'm totally opposed to the philosophy expressed by the quote.",0
"You’re acting like the boss, WDALYIC?",1
"Give me your fucking money, man.",1
Of the shit that is all around.,1
"You fucking crybaby doll, get off my fucking fanny!",1
Some former strike-force personnel say the units have already begun to break up.,0
Let’s just KISS this idea and avoid overcomplicating it.,1
"Damn it, I see a huge donor disappearing.",0
This may sound strangely optimistic.,0
You sure it's such a big deal?,0
It's totally unlike the stuff that I imagine you watch every day.,0
I think someone got wind that you had contacted me and they took you out.,0
She dragged him for his terrible performance.,1
You ever used an MX380 before?,0
But he said he doubts that a settlement is anywhere in sight.,0
Why didn't I just sell up and go back to college?,0
"Meanwhile, the savings-and-loan sector fared better than any other Dow Jones industry group.",0
"Also, municipal bonds lured buying because the stock market remains wobbly, traders contended.",0
Weren't I a lovely little chap?,1
"The report you sent looks good, AC.",1
"I met this nice little Jewish girl, and they're still talking about it.""",0
"Give me the fucking keys to my car,",1
"Hiya, I'm just looking for Horsey.",1
"Yeah, well, that was before all this shit.",1
The Japanese also are accused of keeping their cards too close to their vests.,0
I H8 waking up early.,1
"So far that I can see, you're holding up your part of the bargain.",0
Just as soon as you fuckin'...,1
"Let’s meet up, I’m A3.",1
"And if I don't get into Harvard or Stanford, my father is just going to kill me.",1
"I mean, if you want to make jokes, if that's what you want to do, then I will gladly sit here and you can take the mickey out of me for £ 22.50 an hourit's your money.",1
At least 10 bills proposing one or another national program were introduced in Congress this spring.,0
"I mean, this is... this is our rite of passage, goddamn it.",1
She texted me LHSX after the party.,1
We need some LIK for the party.,1
I'm going to need you to hook yourself up to that IV.,1
His dad was a cunt.,1
We’re finally FBO—changed our relationship status!,1
And if I could talk to the CEO,0
He handled that like a BAMF!,1
Told you it was York.,0
"Indeed, the earthquake could contribute to a turnaround in the insurance cycle in a couple of ways.",0
"RMLB, I’m not going to change my mind.",1
The percentage change is since year-end.,0
"That was so dry, I’m LWOS over here.",1
"You wouldn't want to live round here if you didn't have to, would ya?",1
"He said the toy company's ""prospects for a strong fourth quarter"" are also good.",0
"fucking rip-off, look the claws are all loose could've bloody bought 2 by now yeah, you've got to win it, ain't you?",1
"Now, when it comes to the actual fucking...",1
The meeting is postponed UFN.,1
Get the fuck out of here.,1
An Applied Solar spokesman said completion is expected at the end of the year or early next year.,0
The Polish rat will eat well this winter.,0
Do not let him touch you down like that.,0
I just really need to borrow your plunger.,0
Those leftovers? YCHT.,1
"She gets her info, he gets to talk to a hot senior.",1
Microsoft advanced 1 7/8 to 80 1/2 and Lotus Development added 1 1/4 to 32 1/2.,0
"He's an unsettled lad, but he's desperate to speak to you.",1
He said he hasn't submitted a formal proposal.,0
The acquisition of 87-store Weisfield's raises Ratners's U.S. presence to 450 stores.,0
Do you think she's pretty?,0
'It happened to be my buddy's face.,1
Rates for the Wall Street Journal Reports will remain unchanged.,0
"And I'm like,"" It weren't me!"" Because I can actually remember it, to this day.",0
I’ll XPOST this to another group.,1
"No, it's fine, I made a...",0
I'm fine with either one of them.,0
"So she folded the foil and lit the flame. Inhale, exhale out once again",0
I'll have to change its fuckin' nappies now!,1
The TNT in your kiss,1
And how long's that gonna take?,1
THX for helping me out!,1
"XME, could you move a little?",1
HUGO'S BLAST generates pleas for aid from South Carolina small businesses.,0
More heat in the chili sauce.,0
You're gonna tell her that.,1
Search the location of this cell phone:,0
"I mean, it's gross when he turns into a bug but I love how matter-of-fact everything is.",1
"This sword is BOP, so I have to decide if I want it.",1
"That was an amazing shot, OB!",1
I ain't into all that stupidness.,1
I’ll give you a D2 when I’m ready.,1
But then you're going to have to promise you're going to get in your jammies.,1
"Brokerage houses are sweet on H&R Block, too.",0
"That movie was so emotional, I have TIME right now.",1
"Gabe, if I tell you a secret, you promise not to tell anyone?",0
Can you ACK that you received the package?,1
We are in danger of closing.,0
"They're"" stomps""just slightly above Neanderthal.",1
You need to stop this.,0
Let's give you a cover.,1
You and D are gonna figure out a way to fix this.,0
Wisconsin Toy currently has about 4.7 million shares outstanding.,0
"We want you to know, we think Ned Grodzinski is a wonderful man, and we couldn't be happier for you.",0
Let’s meet at 7. Word,1
"This bitch done cheat my ass for the last time, Mother Nigga!",1
"Thames's U.S. marketing agent, Donald Taffner, is preparing to do just that.",0
"They're gonna pay for everything, and there's a small fee, which I'll split with you 60-40.",1
I saw you at fucking Kirby's.,1
"TYFYC, I appreciate your feedback.",1
"Sleep well, DLTBBB!",1
Futures prices eased on indications of improvement in the industry's labor situation.,0
I just found a BOE item in the dungeon.,1
A large investor will likely cause the futures market to decline when he sells his futures.,0
Can we go get Chinese now?,1
"Hope everything goes well, MGB.",1
"The answer is easy, just FITB.",1
The only securities so far to be singled out are those issued by Bay View Federal Savings & Loan.,0
"But in a TV interview Sunday Mr. Bond said, ""We've taken a big loss.",0
Her name is Alayna Wallace.,0
"I sent the message, still waiting for a QSL.",1
"Goin' to the Hacienda, and..... and..... literally listening to this music..... which was fucking unspeakably rubbish.",1
A K mart spokesman said the acquisition would be financed with short-term borrowings.,0
This project is completely FUBB.,1
"They do them all the time in Shreveport, about three, four times a week.",0
"An entire generation of Cinderellas, and there's no slipper coming.",1
"American Telephone & Telegraph Co. said it will lay off 75 to 85 technicians here, effective Nov. 1.",0
"My father did it all himself, years ago.",0
Going to visit my OL this weekend.,1
You calling me a gold digger?,1
Different than all the other I have tried.,0
Most of us are young for what?,0
"If I speak of Hector, it is of enthusiasm shared, passion conveyed and seeds sown of future harvest.",0
Man starts getting fancy clothes... also starts getting fancy ideas.,0
"Oi, what are you two doing back together?",1
"He's killed my fucking baby, man!",1
"That sounds great, I L2G!",1
"He buys her gifts every day, he’s such a simp.",1
"Well, hang on a second.",0
The charge didn't affect net for the quarter as it was offset by tax benefits.,0
The Office of Thrift Supervision failed to return numerous phone calls.,0
But Brooks was unable to reach a coin-cleaning agreement with the government.,0
"I ain't got nothin' but time, baby.",1
And England are out of the World Cup.,0
"Oh, I'm sure you'II do a beautiful job.",0
"For one thing, no one doubts that the capital gains cut would pass on an up-or-down vote.",0
"Saw you at the party last night, DGYF!",1
Fucking all day we've sat and listened to him.,1
Their horns are watching over us.,0
When he has to stop pretending he's something he's not.,0
""" A tendency to see through all the bullshit surrounding you, and rise above it.""",1
K8T is coming to the party tonight.,1
Mary thought Valerie was trying to steal her bloke.,1
A federal judge turned down the Chapter 11 petition.,0
"Jonah, what's the sales tax?",0
"In 1988, for the first time, economic growth came to a dead stop.",0
I'm worried it's gonna come today.,1
"Okay, let's blow this joint:",1
Is he a killer like Henry?,0
The result is a new and huge appetite for programming.,0
Most of the those who left stock funds simply switched into money market funds.,0
"I was so mad, I told him to ESAD.",1
Never before have ordinary people had so much freedom and opportunity.,0
"You've blossomed, haven't you, love?",1
"You completed the task, GJ!",1
The one with the hat's the one who took my Alizé.,1
I try to raise you on my own.,0
Probably has something to do with my dad.,0
Well... that's entirely up to you...,0
"Looking for a group, PST.",1
"I’m busy atm, can we talk later?",1
We recovered the murder weapon at the scene.,0
Although I must report we've had to cut funding:,0
We'll find him if we have to call every hotel.,0
How hard did she hit you?,0
"One of my mates said,"" Becks just scored from the halfway line.""",1
You're gonna be okay now.,1
Now that's what I calla dead parrot.,1
"Mr. Paul says, yes, the ceiling in his executive suite is gold-leaf inlay.",0
Still on the same number that they've had for fuckin' ages,1
I could be a pimp.,1
"We take your soul, baby.",1
Check out my POTD on Instagram!,1
